date,meantempm,meantempm_1,meantempm_2,meantempm_3,meandewptm_1,meandewptm_2,meandewptm_3,meanpressurem_1,meanpressurem_2,meanpressurem_3,maxhumidity_1,maxhumidity_2,maxhumidity_3,minhumidity_1,minhumidity_2,minhumidity_3,maxtempm_1,maxtempm_2,maxtempm_3,mintempm_1,mintempm_2,mintempm_3,maxdewptm_1,maxdewptm_2,maxdewptm_3,mindewptm_1,mindewptm_2,mindewptm_3,maxpressurem_1,maxpressurem_2,maxpressurem_3,minpressurem_1,minpressurem_2,minpressurem_3,precipm_1,precipm_2,precipm_3
1/4/2015,-14,-4,-6,-6,-11,-9,-12,1016,1022,1023,92,92,84,59,56,54,3,1,2,-13,-12,-13,-4,-6,-6,-16,-13,-18,1025,1026,1025,1010,1017,1019,0.76,0,0
1/5/2015,-9,-14,-4,-6,-19,-11,-9,1033,1016,1022,80,92,92,46,59,56,-12,3,1,-18,-13,-12,-16,-4,-6,-23,-16,-13,1043,1025,1026,1023,1010,1017,0.25,0.76,0
1/6/2015,-10,-9,-14,-4,-14,-19,-11,1032,1033,1016,80,80,92,53,46,59,-3,-12,3,-14,-18,-13,-8,-16,-4,-17,-23,-16,1043,1043,1025,1023,1023,1010,0,0.25,0.76
1/7/2015,-16,-10,-9,-14,-15,-14,-19,1036,1032,1033,80,80,80,54,53,46,-6,-3,-12,-14,-14,-18,-12,-8,-16,-18,-17,-23,1043,1043,1043,1027,1023,1023,0,0,0.25
1/8/2015,-7,-16,-10,-9,-22,-15,-14,1035,1036,1032,72,80,80,45,54,53,-12,-6,-3,-19,-14,-14,-18,-12,-8,-24,-18,-17,1055,1043,1043,956,1027,1023,0,0,0
1/9/2015,-11,-7,-16,-10,-12,-22,-15,1024,1035,1036,69,72,80,55,45,54,2,-12,-6,-16,-19,-14,-4,-18,-12,-21,-24,-18,1037,1055,1043,1014,956,1027,0,0,0
1/10/2015,-6,-11,-7,-16,-19,-12,-22,1035,1024,1035,69,69,72,43,55,45,-7,2,-12,-16,-16,-19,-13,-4,-18,-21,-21,-24,1039,1037,1055,1030,1014,956,0,0,0
1/11/2015,-5,-6,-11,-7,-12,-19,-12,1023,1035,1024,79,69,69,43,43,55,6,-7,2,-17,-16,-16,-6,-13,-4,-19,-21,-21,1031,1039,1037,1019,1030,1014,0,0,0
1/12/2015,-13,-5,-6,-11,-11,-12,-19,1024,1023,1035,96,79,69,47,43,43,3,6,-7,-13,-17,-16,-7,-6,-13,-14,-19,-21,1031,1031,1039,1021,1019,1030,0,0,0
1/13/2015,-12,-13,-5,-6,-17,-11,-12,1040,1024,1023,87,96,79,45,47,43,-7,3,6,-19,-13,-17,-13,-7,-6,-21,-14,-19,1044,1031,1031,1032,1021,1019,0,0,0
1/14/2015,-2,-12,-13,-5,-18,-17,-11,1037,1040,1024,87,87,96,40,45,47,-4,-7,3,-20,-19,-13,-14,-13,-7,-23,-21,-14,1043,1044,1031,1032,1032,1021,0,0,0
1/15/2015,1,-2,-12,-13,-8,-18,-17,1026,1037,1040,84,87,87,51,40,45,4,-4,-7,-9,-20,-19,-4,-14,-13,-15,-23,-21,1030,1043,1044,1023,1032,1032,0,0,0
1/16/2015,4,1,-2,-12,-6,-8,-18,1023,1026,1037,91,84,87,45,51,40,9,4,-4,-9,-9,-20,-2,-4,-14,-10,-15,-23,1024,1030,1043,1021,1023,1032,0,0,0
1/17/2015,7,4,1,-2,-4,-6,-8,1014,1023,1026,96,91,84,30,45,51,15,9,4,-7,-9,-9,-2,-2,-4,-7,-10,-15,1022,1024,1030,1008,1021,1023,0,0,0
1/18/2015,4,7,4,1,-3,-4,-6,1012,1014,1023,65,96,91,32,30,45,12,15,9,3,-7,-9,1,-2,-2,-5,-7,-10,1016,1022,1024,1006,1008,1021,0,0,0
1/19/2015,5,4,7,4,-4,-3,-4,1015,1012,1014,85,65,96,25,32,30,14,12,15,-6,3,-7,-2,1,-2,-7,-5,-7,1017,1016,1022,1012,1006,1008,0,0,0
1/20/2015,4,5,4,7,-3,-4,-3,1015,1015,1012,84,85,65,33,25,32,16,14,12,-6,-6,3,1,-2,1,-6,-7,-5,1017,1017,1016,1013,1012,1006,0,0,0
1/21/2015,2,4,5,4,-3,-3,-4,1018,1015,1015,78,84,85,38,33,25,11,16,14,-3,-6,-6,-2,1,-2,-5,-6,-7,1020,1017,1017,1016,1013,1012,0,0,0
1/22/2015,-1,2,4,5,-3,-3,-3,1025,1018,1015,85,78,84,45,38,33,8,11,16,-5,-3,-6,-2,-2,1,-5,-5,-6,1030,1020,1017,1021,1016,1013,0,0,0
1/23/2015,1,-1,2,4,-5,-3,-3,1031,1025,1018,85,85,78,59,45,38,4,8,11,-6,-5,-3,-3,-2,-2,-8,-5,-5,1034,1030,1020,1028,1021,1016,0,0,0
1/24/2015,6,1,-1,2,-6,-5,-3,1020,1031,1025,84,85,85,34,59,45,9,4,8,-8,-6,-5,-2,-3,-2,-9,-8,-5,1027,1034,1030,1015,1028,1021,0,0,0
1/25/2015,3,6,1,-1,-1,-6,-5,1010,1020,1031,85,84,85,35,34,59,14,9,4,-3,-8,-6,5,-2,-3,-4,-9,-8,1017,1027,1034,1005,1015,1028,0.76,0,0
1/26/2015,7,3,6,1,-1,-1,-6,1014,1010,1020,85,85,84,70,35,34,8,14,9,-1,-3,-8,3,5,-2,-3,-4,-9,1020,1017,1027,1005,1005,1015,0,0.76,0
1/27/2015,4,7,3,6,-1,-1,-1,1016,1014,1010,92,85,85,32,70,35,17,8,14,-2,-1,-3,2,3,5,-4,-3,-4,1019,1020,1017,1014,1005,1005,0,0,0.76
1/28/2015,9,4,7,3,-2,-1,-1,1019,1016,1014,92,92,85,36,32,70,15,17,8,-6,-2,-1,1,2,3,-8,-4,-3,1022,1019,1020,1015,1014,1005,0,0,0
